scheme,b,lambda,h,T,max_error,max_abs_solution,observed_rate,status
CrankNicolson,3.0,0.9,0.1,1.0,0.19490583930236272,0.8543502222212079,nan,stable-looking
CrankNicolson,3.0,0.9,0.05,1.0,0.127678579642036,0.8996286675174872,0.6102608062915924,stable-looking
CrankNicolson,3.0,0.9,0.025,1.0,0.08696826305200234,0.9356456157301678,0.5539555818088429,stable-looking
CrankNicolson,3.0,0.9,0.0125,1.0,0.04803443969811194,0.9581328103659071,0.8564198613248982,stable-looking
FTFS,4.0,0.8,0.1,1.0,2480.1103897302373,2480.1103897302373,nan,unstable-looking
FTFS,4.0,0.8,0.05,1.0,208105717.22433195,208105717.22433195,-16.356552738364105,unstable-looking
FTFS,4.0,0.8,0.025,1.0,1.744053256260131e+18,1.744053256260131e+18,-32.96440844333809,unstable-looking
FTFS,4.0,0.8,0.0125,1.0,3.413732504855814e+38,3.413732504855814e+38,-67.40746781824488,unstable-looking
FTBS,4.0,0.8,0.1,1.0,0.19663895347199623,0.8033610465279984,nan,stable-looking
FTBS,4.0,0.8,0.05,1.0,0.14681208202178553,0.8531879179782091,0.4215784418578664,stable-looking
FTBS,4.0,0.8,0.025,1.0,0.10685520413943295,0.8931447958605457,0.4583135279630325,stable-looking
FTBS,4.0,0.8,0.0125,1.0,0.07694017184703972,0.923059828152939,0.47384821585406656,stable-looking
FTCS,4.0,0.8,0.1,1.0,1.2629801536716752,1.362175373189118,nan,stable-looking
FTCS,4.0,0.8,0.05,1.0,8.531067327956636,8.468567327956634,-2.755894280491909,unstable-looking
FTCS,4.0,0.8,0.025,1.0,1649.8247116194968,1649.8253366194967,-7.59537078628494,unstable-looking
FTCS,4.0,0.8,0.0125,1.0,125960579.8988246,125960579.90023085,-16.220300027864287,unstable-looking
CTCS,4.0,0.8,0.1,1.0,0.20385895038975577,0.8606546037964772,nan,stable-looking
CTCS,4.0,0.8,0.05,1.0,0.09010166056189073,0.9389652831101362,1.177945699399138,stable-looking
CTCS,4.0,0.8,0.025,1.0,0.04692445268757017,0.9530755473124085,0.9412137769642462,stable-looking
CTCS,4.0,0.8,0.0125,1.0,0.03027367851248286,0.9706737234072178,0.6322759323214253,stable-looking
LaxFriedrichs,4.0,0.8,0.1,1.0,0.2611460807559963,0.7388539192439983,nan,stable-looking
LaxFriedrichs,4.0,0.8,0.05,1.0,0.22211709286625514,0.7878017157630547,0.23353663335697852,stable-looking
LaxFriedrichs,4.0,0.8,0.025,1.0,0.1551821408056755,0.8448178591943032,0.5173578847658911,stable-looking
LaxFriedrichs,4.0,0.8,0.0125,1.0,0.11305381214202004,0.8869461878579586,0.4569528938121945,stable-looking
LaxWendroff,4.0,0.8,0.1,1.0,0.14275617160652276,0.889405548955204,nan,stable-looking
LaxWendroff,4.0,0.8,0.05,1.0,0.07499951365109092,0.9250004863489037,0.928599971927109,stable-looking
LaxWendroff,4.0,0.8,0.025,1.0,0.048290001324836074,0.9540522536070531,0.6351567371118242,stable-looking
LaxWendroff,4.0,0.8,0.0125,1.0,0.03082525446388773,0.9718826162034634,0.6476116988999789,stable-looking
BeamWarming,4.0,0.8,0.1,1.0,0.09591631831535974,0.9223842983614228,nan,stable-looking
BeamWarming,4.0,0.8,0.05,1.0,0.06406871865659869,0.9396887602713494,0.5821561453296491,stable-looking
BeamWarming,4.0,0.8,0.025,1.0,0.041576333023964795,0.9632082036975854,0.6238576175207419,stable-looking
BeamWarming,4.0,0.8,0.0125,1.0,0.026676389605343354,0.9769233552384113,0.6401990953328395,stable-looking
BTFS,4.0,0.8,0.1,1.0,1.4707939383550694e+32,1.4707939383550694e+32,nan,unstable-looking
BTFS,4.0,0.8,0.05,1.0,1.0177833736992465e+70,1.0177833736992465e+70,-125.70210299894295,unstable-looking
BTFS,4.0,0.8,0.025,1.0,1.6338884746477273e+145,1.6338884746477273e+145,-249.82748609940504,unstable-looking
BTFS,4.0,0.8,0.0125,1.0,2.4046531839124984e+296,2.4046531839124984e+296,-502.16866164940706,unstable-looking
