scheme,b,h,lambda,T,max_error,max_abs_solution,status
LaxFriedrichs,3.0,0.1,1.1,1.5,0.46019777713305565,1.270197777133061,stable-looking
LaxWendroff,3.0,0.1,1.1,1.5,3.0503745795791275,3.4360822183534423,stable-looking
BeamWarming,3.0,0.1,1.1,1.5,0.1023152071037079,0.9430344600922768,stable-looking
BTFS,3.0,0.1,1.1,1.5,3.269481252578704e+51,3.269481252578704e+51,unstable-looking
BTBS,3.0,0.1,1.1,1.5,0.5834326775287657,0.41969877832626834,stable-looking
BTCS,3.0,0.1,1.1,1.5,0.4775844696559812,0.5240484746378468,stable-looking
CrankNicolson,3.0,0.1,1.1,1.5,0.2027383154055471,0.8200488695261039,stable-looking
FTFS,3.0,0.05,0.8,1.5,16449139373852.271,16449139373852.271,unstable-looking
FTBS,3.0,0.05,0.8,1.5,0.17792864308588574,0.822071356914108,stable-looking
FTCS,3.0,0.05,0.8,1.5,145.06016085127806,145.06016085127806,unstable-looking
CTCS,3.0,0.05,0.8,1.5,0.1252325971392767,0.9299560848911618,stable-looking
LaxFriedrichs,3.0,0.05,0.8,1.5,0.26128815347275713,0.7419225648741216,stable-looking
LaxWendroff,3.0,0.05,0.8,1.5,0.10021767904863721,0.9206804680643903,stable-looking
BeamWarming,3.0,0.05,0.8,1.5,0.06467033815190815,0.9353296618480856,stable-looking
BTFS,3.0,0.05,0.8,1.5,1.0322646861567838e+84,1.0322646861567838e+84,unstable-looking
BTBS,3.0,0.05,0.8,1.5,0.44966079857589913,0.5543795546151891,stable-looking
BTCS,3.0,0.05,0.8,1.5,0.3318226509789186,0.6747182866738288,stable-looking
CrankNicolson,3.0,0.05,0.8,1.5,0.15975289897196843,0.8877155297746788,stable-looking
FTFS,3.0,0.05,0.9,1.5,4310670105856.6934,4310670105856.6934,unstable-looking
FTBS,3.0,0.05,0.9,1.5,0.12650507588220106,0.8734949241177927,stable-looking
FTCS,3.0,0.05,0.9,1.5,309.39323172943347,309.39323172943347,unstable-looking
CTCS,3.0,0.05,0.9,1.5,0.09611555416096884,0.9474913091200579,stable-looking
LaxFriedrichs,3.0,0.05,0.9,1.5,0.18844033615632294,0.8162896354912411,stable-looking
LaxWendroff,3.0,0.05,0.9,1.5,0.07755007571370276,0.9322381541624605,stable-looking
BeamWarming,3.0,0.05,0.9,1.5,0.04676523869106641,0.9532347613089274,stable-looking
BTFS,3.0,0.05,0.9,1.5,1.0048774837114294e+110,1.0048774837114294e+110,unstable-looking
BTBS,3.0,0.05,0.9,1.5,0.4580730005616994,0.5456194312755365,stable-looking
BTCS,3.0,0.05,0.9,1.5,0.3468510505358767,0.6585020341037984,stable-looking
CrankNicolson,3.0,0.05,0.9,1.5,0.1544820261595149,0.8848837615677019,stable-looking
FTFS,3.0,0.05,1.0,1.5,1635950526472.7385,1635950526472.7385,unstable-looking
FTBS,3.0,0.05,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
FTCS,3.0,0.05,1.0,1.5,552.8898995390473,552.8898995390473,unstable-looking
CTCS,3.0,0.05,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxFriedrichs,3.0,0.05,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxWendroff,3.0,0.05,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
BeamWarming,3.0,0.05,1.0,1.5,2.7755575615628914e-15,0.9999999999999956,stable-looking
BTFS,3.0,0.05,1.0,1.5,nan,nan,failed
BTBS,3.0,0.05,1.0,1.5,0.4660994113767476,0.5361891181404657,stable-looking
BTCS,3.0,0.05,1.0,1.5,0.36024277820453077,0.6422358015921529,stable-looking
CrankNicolson,3.0,0.05,1.0,1.5,0.1422531362760936,0.8813575725338627,stable-looking
FTFS,3.0,0.05,1.01,1.5,1996801490787.6821,1996801490787.6821,unstable-looking
FTBS,3.0,0.05,1.01,1.5,0.03860228306658142,1.0294674999999964,stable-looking
FTCS,3.0,0.05,1.01,1.5,668.1388054615011,668.1388054615011,unstable-looking
CTCS,3.0,0.05,1.01,1.5,0.19607380998364812,1.0300337601281742,stable-looking
LaxFriedrichs,3.0,0.05,1.01,1.5,0.032842533158139675,1.0287174999999968,stable-looking
LaxWendroff,3.0,0.05,1.01,1.5,0.08135336839960638,1.030224999999996,stable-looking
BeamWarming,3.0,0.05,1.01,1.5,0.030201297155718287,0.9955951697887396,stable-looking
BTFS,3.0,0.05,1.01,1.5,4.6363316294878855e+196,4.6363316294878855e+196,unstable-looking
BTBS,3.0,0.05,1.01,1.5,0.4672516401750061,0.5334454844266262,stable-looking
BTCS,3.0,0.05,1.01,1.5,0.36135107782304376,0.63864892217695,stable-looking
CrankNicolson,3.0,0.05,1.01,1.5,0.13357728904203725,0.882900356313229,stable-looking
FTFS,3.0,0.05,1.05,1.5,1420194689384.024,1420194689384.024,unstable-looking
FTBS,3.0,0.05,1.05,1.5,0.3770271190762964,1.146449999999995,stable-looking
FTCS,3.0,0.05,1.05,1.5,795.3927993612629,795.3927993612629,unstable-looking
CTCS,3.0,0.05,1.05,1.5,38.67847351236369,38.67847351236369,unstable-looking
LaxFriedrichs,3.0,0.05,1.05,1.5,0.24032500000110124,1.142825000001107,stable-looking
LaxWendroff,3.0,0.05,1.05,1.5,2.2891452663158733,2.658305250967671,stable-looking
BeamWarming,3.0,0.05,1.05,1.5,0.06365200685946648,0.9710915965214909,stable-looking
BTFS,3.0,0.05,1.05,1.5,2.522034840148292e+134,2.522034840148292e+134,unstable-looking
BTBS,3.0,0.05,1.05,1.5,0.47069705043750065,0.5293560036175503,stable-looking
BTCS,3.0,0.05,1.05,1.5,0.36704746458988835,0.6329525354101054,stable-looking
CrankNicolson,3.0,0.05,1.05,1.5,0.13098362781549788,0.881944311181953,stable-looking
FTFS,3.0,0.05,1.1,1.5,363644536189.3585,363644536189.3585,unstable-looking
